,professor_name,lecture_name,aspect,rate,score
163,Young In Chang,English Listening Practice 1,과제,100.0,1.0
164,Young In Chang,English Listening Practice 1,교수,94.0,0.9
165,Young In Chang,English Listening Practice 1,수업,100.0,1.0
166,Young In Chang,English Listening Practice 1,학점,100.0,1.0
167,Young In Chang,English Reading Practice 1,과제,76.0,0.2
168,Young In Chang,English Reading Practice 1,교수,86.66666666666667,0.0
169,Young In Chang,English Reading Practice 1,수업,86.66666666666667,0.3333333333333333
170,Young In Chang,English Reading Practice 1,시험,60.0,0.0
171,Young In Chang,English Reading Practice 1,학점,95.0,0.25
172,강병철,세계화와글로벌거버넌스,과제,100.0,-1.0
173,강병철,세계화와글로벌거버넌스,교수,100.0,1.0
174,강병철,세계화와글로벌거버넌스,수업,62.5,0.0
175,강신정,세포생물학1,과제,80.0,1.0
176,강신정,세포생물학1,수업,93.33333333333331,1.0
177,강신정,세포생물학1,시험,80.0,0.0
178,강신정,일반생물학1,학점,100.0,0.0
179,강원,재무관리,교수,95.0,1.0
180,강원,재무관리,수업,75.55555555555556,0.0
181,강원,재무관리,시험,90.0,0.0
182,강원,재무관리,학점,80.0,0.5
183,계정권,타이포그래피,과제,50.0,-0.75
184,계정권,타이포그래피,교수,40.0,0.5
185,계정권,타이포그래피,수업,36.0,-0.8
186,고영대,HTM 스마트의사결정체계,과제,80.0,1.0
187,고영대,HTM 스마트의사결정체계,수업,46.66666666666666,-0.3333333333333333
188,고영대,HTM 스마트의사결정체계,학점,50.0,0.5
189,고영대,HTM 캡스톤디자인,과제,45.0,-0.5
190,고영대,HTM 캡스톤디자인,교수,80.0,1.0
191,고영대,HTM 호스피탈리티스마트서비스,과제,36.0,-0.6
192,고영대,HTM 호스피탈리티스마트서비스,교수,30.0,-1.0
193,고영대,HTM 호스피탈리티스마트서비스,수업,26.666666666666668,-0.6666666666666666
194,"공은미, 김영욱",공간마케팅,과제,54.0,-0.2
195,"공은미, 김영욱",공간마케팅,수업,86.66666666666667,0.6666666666666666
196,"공은미, 김영욱",공간마케팅,학점,60.0,-1.0
197,곽창규,정책론,교수,93.33333333333331,1.0
198,곽창규,정책론,시험,86.66666666666667,0.0
199,곽창규,정책론,학점,100.0,1.0
200,곽창규,지방행정론,과제,80.0,0.5
201,곽창규,지방행정론,교수,90.0,1.0
202,곽창규,지방행정론,수업,100.0,1.0
203,곽창규,지방행정론,시험,100.0,1.0
204,곽창규,지방행정론,학점,100.0,1.0
205,곽창규,행정철학과윤리,교수,93.33333333333331,0.6666666666666666
206,곽창규,행정철학과윤리,수업,100.0,0.0
207,곽창규,행정철학과윤리,시험,100.0,0.0
208,곽창규,행정철학과윤리,학점,100.0,1.0
209,구중회,영상스토리텔링,과제,100.0,0.0
210,구중회,영상스토리텔링,교수,100.0,1.0
211,구중회,영상스토리텔링,수업,100.0,0.6666666666666666
212,구중회,영상스토리텔링,시험,100.0,0.0
213,구중회,영상스토리텔링,학점,100.0,0.0
214,국형준,자료구조및실습,과제,83.33333333333333,0.0
215,국형준,자료구조및실습,교수,65.71428571428571,0.1428571428571428
216,국형준,자료구조및실습,수업,67.27272727272727,0.3636363636363636
217,국형준,자료구조및실습,시험,74.0,0.4
218,권경중,세종사회봉사1,교수,20.0,-1.0
219,권순일,패턴인식,과제,20.0,-1.0
220,권순일,패턴인식,수업,20.0,0.0
221,권영수,생명과학의미래,수업,26.666666666666668,-1.0
222,권영수,생명과학의미래,학점,40.0,1.0
223,권영수,일반생물학1,과제,20.0,-1.0
224,권영수,일반생물학1,수업,48.0,0.2
225,권영수,일반생물학1,학점,20.0,-1.0
226,권오진,디지털신호처리,과제,90.0,0.0
227,권오진,디지털신호처리,교수,100.0,1.0
228,권오진,디지털신호처리,수업,100.0,0.0
229,권오진,확률및랜덤변수,과제,70.0,0.5
230,권오진,확률및랜덤변수,수업,75.0,0.0
231,권오진,확률및랜덤변수,시험,78.94736842105263,0.0
232,권오진,확률및랜덤변수,학점,86.66666666666667,0.0
233,김경남,유기화학,과제,100.0,1.0
234,김경남,유기화학,교수,80.0,1.0
235,김경남,유기화학,수업,85.0,0.5
236,김경남,유기화학,시험,86.66666666666667,0.3333333333333333
237,김경염,전자기1,교수,100.0,1.0
238,김경염,전자기1,시험,100.0,0.0
239,김경염,확률및랜덤변수,과제,90.0,0.5
240,김경염,확률및랜덤변수,교수,100.0,1.0
241,김경염,확률및랜덤변수,수업,100.0,1.0
242,김경염,확률및랜덤변수,시험,88.57142857142857,0.1428571428571428
243,김경염,확률및랜덤변수,학점,60.0,-1.0
244,김도년,C프로그래밍및실습,과제,50.0,0.5
245,김도년,C프로그래밍및실습,교수,78.66666666666667,0.4
246,김도년,C프로그래밍및실습,수업,84.44444444444444,0.5555555555555556
247,김도년,C프로그래밍및실습,시험,90.0,-0.25
248,김미희,디지털저널리즘,과제,60.0,0.0
249,김미희,디지털저널리즘,수업,80.0,0.0
250,김민정,외식산업경영론,과제,90.0,0.0
251,김민정,외식산업경영론,교수,100.0,1.0
252,김민정,외식산업경영론,수업,80.0,-0.3333333333333333
253,김민정,외식산업경영론,시험,100.0,1.0
254,김성호,기초반도체,과제,100.0,1.0
255,김성호,기초반도체,교수,90.0,1.0
256,김성호,기초반도체,수업,100.0,1.0
257,김숙진,K-MOOC:웨어러블컴퓨터디자인,과제,80.0,0.5
258,김숙진,K-MOOC:웨어러블컴퓨터디자인,수업,100.0,1.0
259,김숙진,K-MOOC:웨어러블컴퓨터디자인,시험,93.33333333333331,0.0
260,김숙진,K-MOOC:웨어러블컴퓨터디자인,학점,86.66666666666667,0.6666666666666666
261,김아정,기초광학및실험,시험,100.0,-0.5
262,김아정,확률및랜덤변수,수업,60.0,-1.0
263,김아정,확률및랜덤변수,학점,60.0,1.0
264,김영복,웹프로그래밍,과제,76.66666666666667,-0.3333333333333333
265,김영복,웹프로그래밍,교수,80.0,0.0
266,김영복,웹프로그래밍,수업,50.0,-0.4166666666666667
267,김영복,웹프로그래밍,시험,85.0,0.5
268,김영복,웹프로그래밍,학점,64.44444444444444,0.0
269,김영은,2D디자인,과제,73.33333333333333,0.3333333333333333
270,김영은,2D디자인,교수,73.33333333333333,1.0
271,김영은,2D디자인,학점,40.0,0.0
272,김용국,HCI개론,수업,70.0,0.0
273,김용국,HCI개론,시험,40.0,-1.0
274,김용국,디지털시스템,과제,73.33333333333333,0.0
275,김용국,디지털시스템,교수,73.33333333333333,-0.3333333333333333
276,김용국,디지털시스템,수업,42.22222222222222,-0.3333333333333333
277,김용국,디지털시스템,시험,100.0,0.0
278,김용국,디지털시스템,학점,20.0,-1.0
279,김용휘,식생활과건강,과제,90.0,-0.5
280,김용휘,식생활과건강,수업,60.0,0.0
281,김우식,MATLAB프로그래밍,과제,75.0,0.25
282,김우식,MATLAB프로그래밍,교수,90.0,0.5
283,김우식,MATLAB프로그래밍,수업,60.0,0.0
284,김우식,MATLAB프로그래밍,시험,100.0,1.0
285,김우식,MATLAB프로그래밍,학점,80.0,0.3333333333333333
286,김우식,디지털신호처리,과제,60.0,0.0
287,김우식,디지털신호처리,교수,100.0,1.0
288,김우식,디지털신호처리,수업,70.0,1.0
289,김우식,디지털신호처리,시험,70.0,0.0
290,김우영,문제해결을위한글쓰기와발표,과제,74.66666666666667,-0.1111111111111111
291,김우영,문제해결을위한글쓰기와발표,교수,85.94594594594595,0.7297297297297297
292,김우영,문제해결을위한글쓰기와발표,수업,72.94117647058823,-0.1176470588235294
293,김우영,문제해결을위한글쓰기와발표,시험,80.0,0.5
294,김우영,문제해결을위한글쓰기와발표,학점,75.23809523809524,-0.0476190476190476
295,김종원,여행사경영론,수업,20.0,-1.0
296,김주명,기초미적분학,과제,100.0,0.5
297,김주명,기초미적분학,교수,96.66666666666669,0.5
298,김주명,기초미적분학,수업,80.0,0.5
299,김주명,기초미적분학,시험,100.0,0.0
300,김주명,기초미적분학,학점,100.0,0.5
301,김주명,일변수미적분학,교수,60.0,-1.0
302,김주명,일변수미적분학,수업,97.14285714285714,0.8333333333333334
303,김주명,일변수미적분학,시험,100.0,1.0
304,김준엽,전자회로1,과제,100.0,0.0
305,김준엽,전자회로1,교수,70.0,0.0
306,김준엽,전자회로1,수업,93.33333333333331,0.6666666666666666
307,김준엽,전자회로1,시험,80.0,1.0
308,김진성,3D디자인,과제,22.22222222222222,-1.0
309,김진성,3D디자인,수업,24.0,-1.0
310,김진성,3D디자인,학점,20.0,1.0
311,김진후,경제학원론,과제,86.66666666666667,0.6666666666666666
312,김진후,경제학원론,교수,84.0,1.0
313,김진후,경제학원론,수업,86.66666666666667,0.3333333333333333
314,김진후,경제학원론,시험,100.0,1.0
315,김진후,경제학원론,학점,80.0,0.6666666666666666
316,김진후,호텔관광재무관리,과제,90.0,-0.5
317,김진후,호텔관광재무관리,교수,90.0,0.5
318,김진후,호텔관광재무관리,수업,100.0,0.8333333333333334
319,김진후,호텔관광재무관리,시험,93.33333333333331,0.0
320,김진후,호텔관광재무관리,학점,90.0,1.0
321,김천식,C프로그래밍및실습,시험,100.0,0.5
322,김해광,확률통계및프로그래밍,과제,90.0,0.5
323,김해광,확률통계및프로그래밍,수업,90.0,-0.5
324,김해광,확률통계및프로그래밍,시험,80.0,0.0
325,김현욱,일반생물학1,과제,35.0,0.0
326,김현욱,일반생물학1,교수,80.0,0.5
327,김현욱,일반생물학1,수업,50.0,-0.5
328,김현욱,일반생물학1,시험,62.85714285714285,-0.1428571428571428
329,김현욱,일반생물학1,학점,40.0,0.0
330,김형곤,축제경영연구,과제,86.66666666666667,0.0
331,김형곤,축제경영연구,시험,60.0,0.0
332,김형욱,분자생물학1및실험,과제,80.0,0.0
333,김형욱,분자생물학1및실험,수업,80.0,0.0
334,김형욱,분자생물학1및실험,시험,80.0,0.0
335,김형욱,인지뇌과학,수업,100.0,1.0
336,김형철,웹프로그래밍,수업,86.66666666666667,-0.3333333333333333
337,김형철,웹프로그래밍,시험,80.0,-1.0
338,김형철,웹프로그래밍,학점,100.0,1.0
339,김희정,스피치커뮤니케이션,과제,70.0,0.0
340,김희정,스피치커뮤니케이션,교수,80.0,1.0
341,김희정,스피치커뮤니케이션,수업,93.33333333333331,0.3333333333333333
342,김희정,스피치커뮤니케이션,시험,93.33333333333331,0.0
343,김희정,스피치커뮤니케이션,학점,40.0,-1.0
344,나중채,자료구조및실습,과제,80.0,0.0
345,나중채,자료구조및실습,교수,95.0,0.5
346,나중채,자료구조및실습,수업,92.0,0.4
347,나중채,자료구조및실습,시험,86.66666666666667,0.0
348,나중채,자료구조및실습,학점,90.0,0.5
349,나중채,졸업연구및진로1,교수,80.0,1.0
350,노양희,진로오딧세이,과제,100.0,0.75
351,노양희,진로오딧세이,교수,86.66666666666667,0.6666666666666666
352,노양희,진로오딧세이,수업,100.0,0.6
353,노양희,진로오딧세이,시험,100.0,0.0
354,류기상,외식경영통계,시험,20.0,-1.0
355,류춘제,줄기세포학,학점,80.0,0.0
356,문동호,일변수미적분학,교수,80.0,1.0
357,문동호,일변수미적분학,수업,20.0,-1.0
358,문동호,일변수미적분학,시험,40.0,0.0
359,문승빈,디지털시스템,과제,100.0,1.0
360,문승빈,디지털시스템,교수,80.0,0.0
361,문승빈,디지털시스템,수업,66.66666666666667,-0.6666666666666666
362,문승빈,디지털시스템,시험,80.0,1.0
363,문승빈,디지털시스템,학점,70.0,1.0
364,문은이,세포생물학1,과제,65.0,-0.25
365,문은이,세포생물학1,교수,40.0,-1.0
366,문은이,세포생물학1,수업,65.0,0.5
367,문은이,세포생물학1,시험,52.0,-0.2
368,문은이,세포생물학1,학점,80.0,1.0
369,문은이,일반생리학,과제,20.0,0.0
370,문은이,일반생리학,교수,20.0,-1.0
371,문은이,일반생리학,수업,60.0,-0.25
372,문은이,일반생리학,시험,60.0,-0.3333333333333333
373,문주희,확률및랜덤변수,과제,60.0,-0.3333333333333333
374,문주희,확률및랜덤변수,교수,40.0,-1.0
375,문주희,확률및랜덤변수,수업,60.0,0.0
376,문주희,확률및랜덤변수,시험,65.0,-0.5
377,문주희,확률및랜덤변수,학점,86.66666666666667,1.0
378,문혜정,SFM 딥러닝기반빅데이터분석기초,수업,80.0,-0.25
379,문혜정,SFM 딥러닝기반빅데이터분석기초,시험,80.0,-1.0
380,문혜정,SFM 딥러닝기반빅데이터분석기초,학점,80.0,0.0
381,문희종,기초광학및실험,시험,60.0,0.0
382,문희종,기초광학및실험,학점,60.0,0.0
383,문희종,전자기1,과제,100.0,0.0
384,문희종,전자기1,교수,100.0,1.0
385,문희종,전자기1,수업,100.0,0.3333333333333333
386,민자경,2D디자인,과제,88.57142857142857,-0.2857142857142857
387,민자경,2D디자인,교수,100.0,0.6666666666666666
388,민자경,2D디자인,수업,80.0,1.0
389,민자경,인포그래픽,과제,100.0,0.0
390,민자경,인포그래픽,교수,100.0,1.0
391,민자경,인포그래픽,수업,100.0,1.0
392,박광민,외식경영세미나,교수,100.0,1.0
393,박기웅,디지털포렌식,수업,93.33333333333331,1.0
394,박기호,디지털시스템,과제,60.0,-0.5
395,박기호,디지털시스템,교수,80.0,0.5
396,박기호,디지털시스템,수업,60.0,-0.5
397,박기호,디지털시스템,학점,80.0,1.0
398,박기호,임베디드시스템,시험,80.0,0.0
399,박기환,디지털논리회로,과제,80.0,1.0
400,박기환,디지털논리회로,교수,90.0,0.5
401,박기환,디지털논리회로,수업,70.0,0.5
402,박기환,디지털논리회로,시험,86.66666666666667,0.5
403,박기환,전자회로1,과제,80.0,0.0
404,박기환,전자회로1,교수,73.33333333333333,1.0
405,박기환,전자회로1,수업,80.0,0.25
406,박기환,전자회로1,시험,86.66666666666667,0.3333333333333333
407,박기환,전자회로1,학점,80.0,-1.0
408,박대섭,사이버전개론,과제,100.0,0.0
409,박대섭,사이버전개론,교수,100.0,1.0
410,박대섭,사이버전개론,수업,20.0,-1.0
411,박대섭,사이버전개론,시험,80.0,0.0
412,박대섭,사이버전개론,학점,90.0,1.0
413,박병구,식품위생학,수업,40.0,-1.0
414,박상일,멀티미디어프로그래밍,과제,80.0,-0.25
415,박상일,멀티미디어프로그래밍,교수,91.42857142857144,0.7142857142857143
416,박상일,멀티미디어프로그래밍,수업,92.72727272727272,0.6363636363636364
417,박상일,멀티미디어프로그래밍,시험,85.0,0.25
418,박상일,멀티미디어프로그래밍,학점,80.0,1.0
419,박상일,문제해결및실습:C++,과제,93.33333333333331,0.3333333333333333
420,박상일,문제해결및실습:C++,교수,95.55555555555556,0.8888888888888888
421,박상일,문제해결및실습:C++,수업,91.42857142857144,0.2857142857142857
422,박상일,문제해결및실습:C++,시험,90.9090909090909,0.2727272727272727
423,박상일,문제해결및실습:C++,학점,93.33333333333331,0.0
424,박선영,English Listening Practice 1,과제,100.0,1.0
425,박선영,English Listening Practice 1,교수,80.0,1.0
426,박선영,English Listening Practice 1,수업,100.0,1.0
427,박선영,English Listening Practice 1,시험,80.0,0.0
428,박선영,English Reading Practice 1,교수,100.0,0.0
429,박선영,English Reading Practice 1,시험,40.0,0.0
430,박선영,English Reading Practice 1,학점,100.0,1.0
431,박선영,기초중국어1,과제,93.33333333333331,0.3333333333333333
432,박선영,기초중국어1,교수,90.0,1.0
433,박선영,기초중국어1,수업,100.0,0.8333333333333334
434,박선영,기초중국어1,시험,100.0,0.0
435,박선영,기초중국어1,학점,95.0,0.3333333333333333
436,박성권,동물생명식품학,교수,100.0,0.0
437,박성권,일반미생물학및실험,교수,100.0,1.0
438,박성권,일반미생물학및실험,수업,100.0,1.0
439,박성권,일반미생물학및실험,시험,90.0,0.5
440,박성권,일반미생물학및실험,학점,100.0,1.0
441,박성권,일반생물학1,과제,100.0,1.0
442,박성권,일반생물학1,교수,95.0,0.75
443,박성권,일반생물학1,수업,100.0,1.0
444,박성권,일반생물학1,시험,88.0,0.8
445,박성권,일반생물학1,학점,80.0,1.0
446,박성훈,선형대수및프로그래밍,수업,46.66666666666666,-0.3333333333333333
447,박성훈,선형대수및프로그래밍,학점,70.0,0.5
448,박영준,3D그래픽어플리케이션,교수,90.0,1.0
449,박영준,3D그래픽어플리케이션,수업,80.0,1.0
450,박영준,3D그래픽어플리케이션,학점,100.0,1.0
451,박용진,디자인인모션1,과제,100.0,1.0
452,박용진,비주얼커뮤니케이션디자인2,교수,100.0,1.0
453,박용진,비주얼커뮤니케이션디자인2,수업,100.0,1.0
454,박우찬,디지털시스템,과제,70.0,0.0
455,박우찬,디지털시스템,교수,73.33333333333333,-1.0
456,박우찬,디지털시스템,수업,62.0,0.0
